"","CPU.usage..MHZ.","Memory.usage..KB.","Disk.write.throughput..KB.s.","Network.received.throughput..KB.s.","Network.transmitted.throughput..KB.s."
"2900",155,1392089,14,12,46
"2901",152,964270,13,1,11
"2902",152,981048,13,2,11
"2903",151,947493,13,1,11
"2904",152,1090100,15,1,11
"2905",152,905550,12,2,11
"2906",160,1039768,16,12,46
"2907",154,913939,13,1,11
"2908",152,981048,13,2,11
"2909",153,922327,12,1,11
"2910",160,952946,15,12,46
"2911",161,857735,14,2,11
"2912",158,1249483,14,12,46
"2913",153,944557,14,1,11
"2914",157,981048,14,12,46
"2915",154,869060,14,1,11
"2916",153,869060,15,1,11
"2917",152,1020055,13,2,11
"2918",152,975595,14,2,11
"2919",152,969723,13,1,11
"2920",155,874512,14,2,11
"2921",153,897162,13,1,11
"2922",176,983564,17,18,56
"2923",188,1123654,14,18,30
"2924",146,1324981,13,1,11
"2925",152,958398,14,1,11
"2926",158,1048157,13,12,46
"2927",151,905550,12,1,11
"2928",156,899678,15,1,11
"2929",154,899678,12,2,11
"2930",163,1048157,44,12,46
"2931",146,944557,14,2,11
"2932",152,888773,13,2,11
"2933",152,1031379,12,1,11
"2934",706,955882,120,12,46
"2935",161,947493,12,2,11
"2936",152,1324981,14,2,11
"2937",153,888773,14,1,11
"2938",153,955882,13,2,11
"2939",152,888773,13,1,11
"2940",160,981048,14,12,46
"2941",155,913939,13,2,11
"2942",162,986500,18,12,46
"2943",154,852283,14,1,11
"2944",155,1036832,14,2,11
"2945",157,986500,13,2,11
"2946",156,969723,14,1,11
"2947",161,902614,13,2,11
"2948",159,1347210,14,12,46
"2949",153,989436,14,1,11
"2950",159,1020055,14,12,46
"2951",152,1045221,14,1,11
"2952",159,933233,16,12,45
"2953",153,852283,12,2,11
"2954",153,944557,14,1,11
"2955",152,972659,14,1,11
"2956",160,810340,14,12,47
"2957",156,939105,13,1,11
"2958",159,1014602,16,28,24
"2959",161,975176,12,2,11
"2960",149,1173986,12,2,11
"2961",152,913939,13,1,11
"2962",158,897162,15,12,46
"2963",153,843894,12,2,11
"2964",161,972659,15,12,46
"2965",153,813276,12,2,11
"2966",160,855219,15,12,46
"2967",154,1115265,13,1,11
"2968",153,947493,13,2,11
"2969",153,897162,12,1,11
"2970",161,997825,16,12,45
"2971",164,1073322,13,2,11
"2972",152,1283038,14,2,11
"2973",153,863607,14,1,11
"2974",152,882901,13,2,11
"2975",153,891290,12,1,11
"2976",160,947493,14,12,46
"2977",152,958398,11,1,11
"2978",153,966787,16,2,11
"2979",153,947493,15,2,11
"2980",158,888773,13,12,46
"2981",153,911003,13,1,11
"2982",160,975176,16,12,46
"2983",160,939105,12,2,11
"2984",160,1226834,14,12,46
"2985",154,855219,14,2,11
"2986",163,846830,13,19,55
"2987",156,1048157,13,2,19
"2988",154,972659,15,2,11
"2989",152,989436,12,2,11
"2990",159,997825,16,12,46
"2991",151,855219,16,2,11
"2992",150,947493,13,2,11
"2993",152,905550,14,1,11
"2994",153,838441,16,2,11
"2995",159,1003278,11,2,11
"2996",157,1243611,15,12,46
"2997",152,922327,14,2,11
"2998",153,849347,14,2,11
"2999",152,869060,14,1,11
"3000",154,919391,15,2,11
"3001",154,997825,12,2,11
"3002",152,852283,16,2,11
"3003",153,922327,14,2,11
"3004",150,835505,12,2,11
"3005",153,922327,13,2,15
"3006",154,1003278,15,12,17
"3007",164,1064934,13,23,24
"3008",151,1235223,13,2,11
"3009",151,950010,14,1,11
"3010",151,899678,14,2,11
"3011",154,944557,13,1,11
"3012",161,1033896,16,12,46
"3013",152,857735,12,2,11
"3014",159,846830,15,12,46
"3015",153,939105,13,1,11
"3016",152,927780,13,2,11
"3017",152,824181,12,1,11
"3018",153,902614,15,2,11
"3019",163,955882,12,2,11
"3020",152,1162661,13,2,11
"3021",154,852283,14,2,26
"3022",173,1008730,14,19,56
"3023",187,1017119,13,15,37
"3024",161,1123654,15,12,46
"3025",152,1006214,12,2,11
"3026",151,855219,14,2,11
"3027",153,964270,14,2,11
"3028",158,905550,14,2,15
"3029",153,871996,12,1,11
"3030",152,1006214,15,1,11
"3031",160,972659,12,2,11
"3032",151,1266260,13,2,11
"3033",151,1022991,14,1,11
"3034",164,1022991,14,42,53
"3035",156,922327,12,2,11
"3036",155,939105,16,3,37
"3037",155,866124,12,2,11
"3038",161,1053609,15,22,50
"3039",154,1006214,13,12,16
"3040",162,1000342,13,12,47
"3041",154,944557,13,1,23
"3042",160,939105,15,12,46
"3043",159,843894,12,2,11
"3044",161,1154272,14,12,50
"3045",155,1022991,14,2,12
"3046",162,972659,14,10,22
"3047",156,1000342,12,1,11
"3048",153,897162,14,2,13
"3049",151,888773,11,2,11
"3050",152,905550,15,1,11
"3051",156,855219,15,2,11
"3052",160,1184891,13,12,48
"3053",152,897162,13,1,11
"3054",164,997825,15,65,70
"3055",179,955882,13,107,58
"3056",172,1199152,16,15,57
"3057",154,986500,14,2,11
"3058",152,869060,13,5,12
"3059",154,1006214,13,8,50
"3060",152,964270,15,2,11
"3061",152,947493,13,2,11
"3062",159,871996,15,12,46
"3063",155,905550,13,1,11
"3064",159,922327,14,12,46
"3065",152,1048157,14,1,11
"3066",152,1039768,15,1,11
"3067",164,905550,13,2,11
"3068",150,1235223,13,2,11
"3069",152,1017119,14,2,26
"3070",159,927780,13,12,46
"3071",152,1048157,13,1,11
"3072",154,941621,14,1,11
"3073",153,941621,13,2,11
"3074",158,832569,15,12,46
"3075",152,1036832,13,1,11
"3076",152,902614,14,2,11
"3077",152,776785,12,1,11
"3078",160,849347,15,12,45
"3079",160,908067,12,2,11
"3080",158,1352663,13,12,46
"3081",152,1017538,13,1,11
"3082",152,860671,13,2,11
"3083",152,821664,12,1,11
"3084",153,874512,15,1,11
"3085",151,855219,12,2,11
"3086",148,863607,15,2,11
"3087",153,927780,14,1,11
"3088",157,975176,13,12,46
"3089",153,840958,13,1,11
"3090",159,852283,15,12,46
"3091",159,922327,11,2,11
"3092",151,1196216,15,2,11
"3093",152,913939,14,2,11
"3094",150,882901,11,2,11
"3095",150,852283,13,1,11
"3096",153,897162,16,2,11
"3097",150,821664,11,2,11
"3098",162,911003,15,12,57
"3099",153,911003,14,2,11
"3100",158,924844,12,12,46
"3101",152,1036832,14,1,18
"3102",154,952946,14,2,11
"3103",175,821664,12,7,25
"3104",199,1288490,17,25,43
"3105",154,1162661,13,2,11
"3106",149,891290,13,2,11
"3107",152,824181,12,1,16
"3108",173,997825,16,76,54
"3109",151,975595,12,2,12
"3110",189,1157208,16,16,32
"3111",167,1059062,15,8,18
"3112",179,1157208,14,16,30
"3113",152,1106877,12,1,11
"3114",157,902614,14,1,11
"3115",162,843894,12,2,11
"3116",151,1313656,14,2,11
"3117",151,880384,13,1,11
"3118",152,981048,13,2,11
"3119",152,955882,13,1,11
"3120",153,972659,14,1,11
"3121",152,913939,12,2,11
"3122",166,972659,15,12,46
"3123",152,880384,14,1,11
"3124",162,1123654,14,12,46
"3125",153,972659,13,2,11
"3126",153,964270,15,1,11
"3127",167,964270,13,40,31
"3128",160,1140431,13,24,52
"3129",156,964270,14,1,18
"3130",159,1115265,13,12,46
"3131",153,981048,13,2,11
"3132",162,1061998,15,12,64
"3133",154,972659,12,2,11
"3134",152,882901,15,2,11
"3135",154,941621,13,1,11
"3136",152,1056545,13,2,11
"3137",153,916455,13,1,11
"3138",159,1003278,16,12,46
"3139",161,983564,12,2,11
"3140",151,1159725,13,2,11
"3141",153,913939,13,2,11
"3142",161,944557,14,12,47
"3143",152,830053,12,1,12
"3144",159,1048157,15,12,46
"3145",152,790626,12,2,11
"3146",154,818728,15,2,11
"3147",155,981048,14,2,17
"3148",159,830053,14,12,46
"3149",152,796498,12,1,11
"3150",154,840958,14,1,18
"3151",176,899678,14,13,29
"3152",169,1383701,14,19,59
"3153",154,1140431,13,1,11
"3154",152,913939,13,2,11
"3155",153,880384,12,1,11
"3156",153,922327,14,1,11
"3157",152,955882,12,2,11
"3158",159,1014602,15,12,46
"3159",153,880384,13,1,11
"3160",153,930716,13,2,11
"3161",194,955882,13,25,39
"3162",176,1075839,17,21,55
"3163",165,994889,13,2,11
"3164",153,1268777,14,2,11
"3165",153,1028443,14,1,11
"3166",161,1000342,14,12,46
"3167",153,975176,12,1,11
"3168",154,927780,16,1,11
"3169",152,908067,12,2,11
"3170",145,897162,14,2,11
"3171",158,986500,73,3,49
"3172",149,1087164,14,2,11
"3173",148,902614,12,1,11
"3174",159,927780,15,12,46
"3175",160,922327,12,2,11
"3176",151,1204604,13,2,11
"3177",154,908067,12,2,11
"3178",154,869060,12,2,11
"3179",153,944557,13,1,11
"3180",151,882901,14,1,11
"3181",156,899678,12,2,11
"3182",161,1109393,15,161,19
"3183",152,961334,14,1,11
"3184",152,779721,13,2,11
"3185",148,838441,12,2,11
"3186",144,989436,16,12,46
"3187",140,955882,13,2,11
"3188",136,1241095,13,12,46
"3189",140,972659,14,1,11
"3190",149,863607,14,2,11
"3191",149,863607,12,1,11
"3192",152,930716,14,1,11
"3193",153,989436,12,2,13
"3194",161,966787,15,12,46
"3195",155,852283,13,1,11
"3196",152,877448,13,2,11
"3197",153,877448,11,1,11
"3198",154,975176,15,2,11
"3199",160,986500,12,2,11
"3200",151,1241095,14,1,11
"3201",152,1039768,12,1,11
"3202",152,899678,14,2,11
"3203",148,891290,12,1,11
"3204",155,955882,16,12,46
"3205",178,1056545,14,16,27
"3206",156,1022991,14,2,11
"3207",161,986500,13,5,13
"3208",160,930716,13,12,46
"3209",151,815792,13,1,11
"3210",160,821664,16,12,46
"3211",160,1011666,12,2,11
"3212",139,1193280,13,2,11
"3213",152,891290,14,2,11
"3214",158,785174,13,12,46
"3215",152,843894,12,1,11
"3216",159,939105,15,12,46
"3217",152,913939,13,2,11
"3218",158,955882,46,2,11
"3219",147,972659,13,1,11
"3220",152,821664,14,2,11
"3221",152,863607,12,1,11
"3222",160,913939,14,12,45
"3223",164,888773,12,2,11
"3224",162,1249483,13,12,46
"3225",152,1129107,13,1,11
"3226",152,1014602,13,2,11
"3227",153,969723,12,1,11
"3228",153,964270,14,1,11
"3229",154,936169,13,2,11
"3230",160,888773,18,12,46
"3231",155,830053,14,1,11
"3232",155,863607,13,2,11
"3233",153,857735,13,1,11
"3234",165,1008730,15,12,46
"3235",162,835505,13,2,11
"3236",155,1221381,14,1,11
"3237",153,936169,14,1,11
"3238",153,894226,14,2,11
"3239",153,857735,12,1,11
"3240",160,989436,14,12,46
"3241",153,1098488,12,2,11
"3242",154,966787,14,2,11
"3243",153,863607,14,1,11
"3244",154,835505,15,2,22
"3245",152,978112,12,1,11
"3246",154,902614,15,1,11
"3247",161,958398,12,2,11
"3248",151,1316592,14,2,11
"3249",153,997825,13,2,13
"3250",154,880384,13,2,11
"3251",152,972659,13,1,11
"3252",162,1048157,14,16,47
"3253",152,964270,11,2,11
"3254",152,897162,14,2,11
"3255",152,1048157,13,2,11
"3256",153,1014602,12,2,11
"3257",152,966787,12,1,11
"3258",152,933233,15,1,11
"3259",161,871996,13,2,15
"3260",160,1215929,14,12,50
"3261",154,966787,14,2,15
"3262",151,863607,14,2,11
"3263",153,866124,14,1,11
"3264",162,989436,15,12,46
"3265",152,952946,11,2,11
"3266",161,936169,17,17,29
"3267",153,902614,14,2,14
"3268",152,771332,13,2,13
"3269",152,939105,13,1,11
"3270",152,947493,14,2,11
"3271",151,1022991,12,2,11
"3272",160,1148820,15,2,15
"3273",152,1031379,13,2,11
"3274",150,846830,12,2,15
"3275",153,888773,13,2,15
"3276",154,871996,15,2,26
"3277",156,922327,11,2,25
"3278",160,1014602,15,12,46
"3279",153,969723,14,2,15
"3280",181,1033896,15,23,31
"3281",150,1173986,13,4,14
"3282",149,981048,14,1,11
"3283",157,913939,13,2,11
"3284",148,1224317,13,2,13
"3285",152,1031379,14,2,28
"3286",173,930716,16,18,58
"3287",150,1081711,13,2,11
"3288",174,1022991,15,20,57
"3289",152,955882,11,2,11
"3290",151,913939,14,2,11
"3291",152,885837,13,1,11
"3292",158,1059062,14,12,46
"3293",155,941621,13,2,15
"3294",164,1075839,16,12,57
"3295",184,1042704,13,13,28
"3296",165,1377829,14,15,55
"3297",161,983564,14,2,24
"3298",179,1014602,14,17,30
"3299",153,939105,13,2,22
"3300",159,989436,16,12,55
"3301",154,955882,12,2,16
"3302",162,1039768,16,12,46
"3303",166,1014602,16,7,38
"3304",178,1098488,14,18,43
"3305",191,1006214,16,31,50
"3306",158,997825,16,5,19
"3307",172,1064934,13,82,86
"3308",182,1333369,15,17,32
"3309",196,1056545,16,29,47
"3310",179,1059481,15,16,30
"3311",179,994889,15,28,35
"3312",162,1061998,15,3,14
"3313",151,936169,11,2,19
"3314",169,1011666,16,12,29
"3315",183,975595,16,78,58
"3316",149,989436,13,2,11
"3317",168,936169,14,9,23
"3318",159,1095552,15,12,15
"3319",148,1025507,11,2,11
"3320",160,1405931,14,1,11
"3321",151,1048157,14,2,25
"3322",148,1003278,12,2,11
"3323",177,857735,15,20,42
"3324",174,1076258,17,29,27
"3325",154,1109813,12,2,17
"3326",151,944557,16,1,13
"3327",152,1081711,14,2,11
"3328",160,1011666,12,23,53
"3329",151,840958,13,2,29
"3330",157,1078775,14,12,46
"3331",179,882901,12,28,39
"3332",165,1288490,14,13,48
"3333",155,972659,14,4,28
"3334",160,981048,13,15,62
"3335",178,989436,13,50,44
"3336",159,1064934,16,27,27
"3337",157,1084228,13,3,14
"3338",148,966787,14,2,11
"3339",149,950010,13,1,11
"3340",172,1081711,14,200,133
"3341",171,1215929,15,31,36
"3342",194,1140431,18,37,36
"3343",159,1090100,12,10,14
"3344",175,1408867,14,20,55
"3345",178,1073322,14,73,97
"3346",172,964270,16,46,94
"3347",205,1064934,16,126,53
"3348",160,1106877,15,12,48
"3349",181,997825,13,21,37
"3350",150,964270,15,2,15
"3351",164,981048,15,23,18
"3352",159,947493,14,7,22
"3353",152,888773,13,2,18
"3354",155,1036832,16,9,24
"3355",194,1274649,14,79,73
"3356",165,1305267,13,12,46
"3357",162,1087164,13,9,20
"3358",194,1090100,14,131,79
"3359",151,955882,13,2,15
"3360",165,939105,16,22,61
"3361",156,913939,15,2,17
"3362",204,1039768,16,33,49
"3363",188,1039768,15,36,52
"3364",217,1179438,18,34,60
"3365",184,1101005,13,83,40
"3366",166,1073322,15,15,54
"3367",187,981048,14,99,34
"3368",176,1422708,14,137,37
"3369",225,1126171,17,168,98
"3370",178,1145884,15,24,56
"3371",170,1123654,15,13,26
"3372",165,1070386,14,223,225
"3373",186,1025927,13,113,25
"3374",154,1148820,15,12,46
"3375",196,997825,16,30,61
"3376",198,1098488,15,73,116
"3377",153,821664,13,1,11
"3378",157,871996,14,12,46
"3379",149,871996,12,2,11
"3380",171,1299815,15,12,46
"3381",154,922327,15,1,11
"3382",156,939105,14,12,46
"3383",153,821664,13,2,14
"3384",176,1061998,16,24,38
"3385",150,1145884,12,2,11
"3386",149,927780,14,2,11
"3387",156,991953,13,5,19
"3388",170,1031379,15,7,21
"3389",150,975176,12,2,11
"3390",151,941621,14,2,16
"3391",152,966787,13,2,12
"3392",167,1414319,14,12,46
"3393",151,969723,14,1,11
"3394",159,964270,15,12,47
"3395",152,908067,12,1,11
"3396",159,983564,15,12,46
"3397",151,1003278,12,6,13
"3398",161,1061998,16,37,60
"3399",166,1070386,14,43,34
"3400",200,1120718,16,85,90
"3401",203,1134559,15,43,50
"3402",173,1151336,16,19,53
"3403",152,955882,12,2,11
"3404",162,1039768,13,2,11
"3405",154,913939,13,1,11
"3406",152,804887,14,2,11
"3407",151,788110,12,2,30
"3408",155,888773,14,1,11
"3409",153,930716,13,2,15
"3410",166,1123654,15,17,28
"3411",152,930716,14,2,11
"3412",150,838441,13,2,11
"3413",151,1011666,13,2,11
"3414",159,986500,15,12,46
"3415",152,975176,11,2,11
"3416",175,1392089,13,12,46
"3417",151,1106877,14,2,22
"3418",154,939105,14,2,28
"3419",151,950010,12,1,11
"3420",160,1048157,16,12,49
"3421",153,955882,14,2,11
"3422",151,964270,14,2,11
"3423",151,927780,14,1,11
"3424",151,810340,14,2,11
"3425",151,718065,13,1,11
"3426",159,888773,14,12,46
"3427",152,908067,12,2,11
"3428",158,1134559,13,1,11
"3429",152,891290,13,1,11
"3430",160,986500,14,12,50
"3431",150,964270,13,1,11
"3432",157,1022991,14,12,46
"3433",154,880384,12,2,11
"3434",156,891290,14,12,46
"3435",152,905550,13,2,22
"3436",151,947493,13,2,11
"3437",149,880384,12,1,11
"3438",159,1014602,15,12,46
"3439",150,913939,12,2,11
"3440",168,1333369,14,30,55
"3441",153,1148820,14,22,19
"3442",150,897162,14,2,11
"3443",150,964270,12,1,11
"3444",157,997825,15,12,46
"3445",152,919391,13,2,15
"3446",151,930716,15,2,15
"3447",152,922327,13,1,11
"3448",158,1103941,15,12,47
"3449",151,894226,12,2,13
"3450",150,1025507,15,2,15
"3451",150,1078775,13,2,11
"3452",165,1330433,14,12,46
"3453",160,991953,14,9,22
"3454",152,1022991,14,2,11
"3455",148,969723,13,1,11
"3456",148,969723,16,1,11
"3457",149,888773,12,2,11
"3458",147,952946,14,12,46
"3459",143,981048,16,2,11
"3460",153,922327,15,12,46
"3461",150,838441,12,1,11
"3462",159,1022991,16,12,51
"3463",150,930716,12,2,11
"3464",156,1168114,13,2,11
"3465",147,986500,13,1,11
"3466",150,919391,13,2,11
"3467",148,888773,12,1,11
"3468",146,788110,14,2,14
"3469",157,888773,13,3,49
"3470",155,1324981,69,162,19
"3471",149,955882,15,1,11
"3472",159,913939,14,12,46
"3473",152,871996,12,1,11
"3474",136,830053,15,2,14
"3475",135,922327,13,2,14
"3476",144,1442421,13,2,11
"3477",149,1056545,13,1,11
"3478",152,958398,14,2,11
"3479",150,843894,13,1,11
"3480",152,944557,14,2,11
"3481",153,871996,12,2,11
"3482",152,843894,13,2,11
"3483",154,832569,14,2,15
"3484",153,936169,13,2,11
"3485",153,843894,12,2,13
"3486",160,866124,14,12,46
"3487",153,933233,12,2,11
"3488",168,1204604,14,12,48
"3489",154,919391,14,1,11
"3490",152,908067,13,2,11
"3491",146,832569,12,1,11
"3492",156,740295,15,12,46
"3493",159,952946,13,2,23
"3494",188,1064934,16,25,46
"3495",160,966787,14,7,17
"3496",161,927780,14,12,46
"3497",152,824181,12,1,11
"3498",154,902614,14,1,11
"3499",153,969723,12,2,11
"3500",169,1199152,14,12,48
"3501",153,989436,14,1,13
"3502",152,930716,14,2,11
"3503",152,955882,12,1,11
"3504",153,880384,14,1,11
"3505",153,821664,12,2,12
"3506",163,939105,46,12,48
"3507",147,1022991,13,1,11
"3508",152,964270,13,2,11
"3509",153,891290,12,1,11
"3510",154,899678,14,1,11
"3511",153,882901,13,2,11
"3512",161,1257872,14,2,11
"3513",152,1022991,14,1,11
"3514",154,1014602,14,2,16
"3515",152,1006214,12,1,11
"3516",152,801951,14,1,11
"3517",153,961334,13,2,13
"3518",160,1028443,18,12,46
"3519",153,916455,14,1,11
"3520",159,888773,14,12,46
"3521",153,852283,14,2,14
"3522",160,978112,15,12,46
"3523",154,1042285,12,2,11
"3524",168,1280102,14,12,46
"3525",155,1045221,12,1,11
"3526",152,1014602,13,2,11
"3527",153,899678,12,1,11
"3528",154,899678,15,1,11
"3529",153,832569,11,2,11
"3530",159,849347,15,12,46
"3531",155,972659,14,1,11
"3532",153,922327,13,2,11
"3533",152,947493,14,1,13
"3534",159,1039768,15,12,46
"3535",153,922327,12,2,12
"3536",159,1283038,13,2,11
"3537",152,1006214,15,1,11
"3538",152,947493,15,2,11
"3539",151,838441,12,2,14
"3540",159,1006214,15,12,45
"3541",152,796498,12,2,11
"3542",153,916455,14,2,16
"3543",153,860671,14,1,11
"3544",152,902614,13,2,11
"3545",152,947493,13,1,18
"3546",152,843894,15,1,11
"3547",156,796498,14,3,21
"3548",161,1235223,13,2,11
"3549",152,885837,13,1,18
"3550",159,955882,14,12,46
"3551",151,966787,14,1,11
"3552",153,1078775,15,1,11
"3553",156,933233,13,2,37
"3554",160,989436,15,17,26
"3555",156,997825,14,2,13
"3556",155,1022991,15,2,18
"3557",170,983564,13,18,29
"3558",170,978112,16,15,50
"3559",168,1042285,14,47,35
"3560",166,1204604,14,69,42
"3561",172,1036832,13,11,27
"3562",166,1014602,13,44,23
"3563",156,950429,13,3,14
"3564",160,1084228,15,12,46
"3565",153,888773,13,2,11
"3566",172,922327,16,28,77
"3567",193,1006214,16,41,41
"3568",175,1022991,15,21,59
"3569",200,1059481,15,104,119
"3570",174,1157208,16,56,58
"3571",169,1014602,13,21,21
"3572",247,1257872,15,241,72
"3573",153,1090100,14,2,29
"3574",161,952946,14,12,46
"3575",151,869060,13,1,11
"3576",168,894226,15,27,25
"3577",150,991953,13,2,11
"3578",156,997825,15,12,46
"3579",174,1022991,14,97,28
"3580",159,978112,15,12,46
"3581",152,899678,12,1,11
"3582",181,941621,15,97,32
"3583",156,1075839,13,2,16
"3584",199,1249483,16,67,81
"3585",176,1028443,14,98,51
"3586",167,983564,14,12,23
"3587",167,969723,13,15,23
"3588",173,1006214,16,20,66
"3589",153,936169,12,2,11
"3590",182,1064934,15,109,68
"3591",160,989436,15,4,27
"3592",163,1134559,15,32,26
"3593",235,1330433,16,42,61
"3594",213,1249483,17,103,136
"3595",197,1045221,13,85,109
"3596",162,1207540,13,2,13
"3597",157,947493,15,11,19
"3598",184,997825,17,31,77
"3599",180,1064934,14,29,53
"3600",156,1006214,15,2,19
"3601",189,1073322,14,62,42
"3602",180,1132043,17,20,33
"3603",162,1022991,15,4,27
"3604",178,991953,16,20,58
"3605",155,983564,13,2,18
"3606",175,1014602,16,54,24
"3607",199,989436,15,31,43
"3608",212,1207540,19,41,87
"3609",171,1157208,14,86,25
"3610",161,1050673,15,18,18
"3611",154,821664,13,2,15
"3612",161,919391,15,12,49
"3613",172,983984,13,10,30
"3614",196,1050673,17,34,77
"3615",189,989436,15,21,50
"3616",183,1078775,15,17,29
"3617",192,1176502,15,24,50
"3618",190,1140431,17,280,270
"3619",168,947493,13,45,27
"3620",174,1218445,14,12,35
"3621",157,1050673,14,28,24
"3622",162,966787,15,13,53
"3623",163,1117782,13,6,45
"3624",180,1235223,17,38,77
"3625",175,1140431,13,19,36
"3626",151,1031379,14,2,11
"3627",162,913939,14,6,13
"3628",181,1199152,17,15,19
"3629",156,1014602,13,12,17
"3630",159,1014602,15,4,17
"3631",177,964270,14,77,28
"3632",214,1411383,14,153,62
"3633",168,1056545,15,43,25
"3634",201,1098488,15,94,33
"3635",154,972659,14,23,34
"3636",156,1022991,16,27,42
"3637",183,1011666,16,237,262
"3638",230,1115265,17,120,87
"3639",162,1087164,15,7,18
"3640",168,994889,15,54,51
"3641",152,1025507,12,1,11
"3642",160,952946,14,12,46
"3643",153,855219,12,2,15
"3644",168,1201668,13,12,46
"3645",153,1008730,12,1,11
"3646",154,860671,14,2,11
"3647",172,916455,14,99,35
"3648",153,981048,15,2,13
"3649",176,899678,14,9,34
"3650",162,1048157,16,13,51
"3651",155,936169,15,5,12
"3652",189,997825,16,26,70
"3653",156,1031379,14,3,19
"3654",209,1090100,17,128,71
"3655",161,1078775,13,6,18
"3656",173,1199152,15,17,50
"3657",153,964270,13,1,11
"3658",159,888773,14,12,50
"3659",151,754555,13,1,11
"3660",156,930716,15,1,11
"3661",153,989436,13,2,11
"3662",154,1014602,14,12,46
"3663",155,863607,13,2,15
"3664",150,821664,15,2,11
"3665",150,830053,12,1,11
"3666",166,1098488,16,9,27
"3667",173,997825,14,21,25
"3668",180,1249483,14,254,273
"3669",155,1179438,13,1,11
"3670",154,964270,13,2,11
"3671",150,919391,14,1,11
"3672",151,947493,15,1,11
"3673",153,1014602,11,2,12
"3674",153,919391,13,1,11
"3675",155,1059062,15,1,11
"3676",151,891290,13,2,11
"3677",151,734842,12,1,11
"3678",160,1000342,16,12,45
"3679",153,866124,12,2,11
"3680",167,1193280,15,12,46
"3681",152,1061998,14,1,11
"3682",152,1034315,13,2,11
"3683",150,779721,12,1,11
"3684",154,815792,14,1,11
"3685",151,824181,12,1,11
"3686",158,986500,14,12,46
"3687",153,936169,14,1,11
"3688",157,799015,13,2,11
"3689",151,916455,13,2,15
"3690",153,863607,15,1,11
"3691",153,838441,13,2,11
"3692",159,1266260,14,2,11
"3693",150,922327,13,1,11
"3694",151,813276,14,2,11
"3695",167,922327,13,6,17
"3696",159,1073322,16,3,24
"3697",167,1056545,14,7,19
"3698",162,989436,16,12,18
"3699",156,897162,13,3,12
"3700",152,866124,14,2,11
"3701",150,880384,13,2,15
"3702",161,855219,14,12,45
"3703",153,813276,13,2,11
"3704",159,1115265,14,1,11
"3705",153,888773,14,1,10
"3706",159,888773,13,12,46
"3707",151,930716,13,1,11
"3708",153,916455,15,1,11
"3709",190,994889,13,59,40
"3710",167,972659,16,12,57
"3711",154,964270,14,1,11
"3712",161,933233,14,12,46
"3713",155,916455,13,2,11
"3714",189,1187827,15,27,71
"3715",158,1112329,12,5,18
"3716",167,1249483,14,12,46
"3717",182,1045221,14,62,40
"3718",182,958398,14,24,63
"3719",152,969723,12,2,15
"3720",161,911003,14,12,45
"3721",158,857735,12,20,13
"3722",155,930716,13,1,11
"3723",153,796498,12,1,11
"3724",160,947493,14,12,46
"3725",153,939105,12,1,11
"3726",160,1014602,15,16,47
"3727",164,1098488,13,117,46
"3728",164,1266260,13,32,25
"3729",152,997825,14,1,10
"3730",159,897162,14,12,46
"3731",151,788110,13,1,11
"3732",158,930716,15,12,45
"3733",152,866124,13,2,11
"3734",159,871996,15,12,46
"3735",153,913939,12,1,11
"3736",154,1003278,13,2,11
"3737",152,939105,12,1,11
"3738",160,969723,15,12,45
"3739",152,857735,11,2,11
"3740",159,1285554,14,2,11
"3741",151,1075839,13,1,11
"3742",152,939105,13,2,11
"3743",152,871996,12,1,11
"3744",158,897162,17,2,25
"3745",151,1011666,11,2,11
"3746",150,964270,14,12,46
"3747",146,972659,15,1,11
"3748",157,916455,72,3,52
"3749",150,1293943,13,2,22
"3750",159,1022991,15,12,48
"3751",153,1036832,12,2,13
"3752",167,1277166,13,12,46
"3753",155,978112,14,2,16
"3754",158,1042285,14,7,17
"3755",149,981048,12,1,11
"3756",152,846830,15,2,23
"3757",156,905550,11,2,11
"3758",168,972659,14,161,19
"3759",154,863607,13,3,12
"3760",156,997825,13,14,47
"3761",155,1056545,13,6,17
"3762",155,1039768,16,11,20
"3763",133,1090100,12,2,12
"3764",145,1293943,13,12,46
"3765",132,964270,13,1,11
"3766",150,813276,13,12,46
"3767",150,785174,12,1,11
"3768",158,952946,15,12,45
"3769",151,947493,12,1,11
"3770",156,950010,15,1,11
"3771",155,855219,13,1,10
"3772",152,880384,13,2,11
"3773",152,902614,12,1,11
"3774",160,1059062,14,12,45
"3775",154,899678,12,2,11
"3776",160,1350146,13,2,11
"3777",153,1067450,13,1,11
"3778",158,947493,14,12,46
"3779",152,813276,13,1,11
"3780",153,863607,13,1,11
"3781",147,933233,11,2,11
"3782",154,941621,15,12,46
"3783",154,869060,14,1,11
"3784",153,815792,14,2,11
"3785",153,888773,13,1,11
"3786",154,888773,15,1,11
"3787",153,807404,12,2,11
"3788",160,1123654,13,1,11
"3789",151,947493,12,1,11
"3790",151,821664,13,2,11
"3791",152,838441,12,1,11
"3792",152,897162,15,1,11
"3793",153,930716,11,2,11
"3794",165,1006214,46,12,46
"3795",148,1031379,13,1,11
"3796",158,897162,13,12,46
"3797",153,913939,13,1,11
"3798",160,1056545,15,12,45
"3799",154,899678,12,2,20
"3800",166,1117782,13,12,46
"3801",152,933233,13,1,11
"3802",159,1020055,13,12,46
"3803",155,950010,11,1,11
"3804",155,939105,14,1,11
"3805",155,958818,13,2,11
"3806",165,964270,19,12,46
